,sum.w,(Intercept),z$religious_,medinc,z$ACS5year_1,z$ACR_5yea_3,(Intercept)_se,z$religious__se,medinc_se,z$ACS5year_1_se,z$ACR_5yea_3_se,gwr.e,pred,pred.se,localR2,(Intercept)_se_EDF,z$religious__se_EDF,medinc_se_EDF,z$ACS5year_1_se_EDF,z$ACR_5yea_3_se_EDF,pred.se.1,X,Y
65,21.25510859,31.44890315,0.104349649,-0.155354981,0.732739287,0.32741838,9.782030893,0.168124006,0.084939639,0.176027651,0.37649798,-12.35245284,56.22400417,3.907567231,0.656098161,10.1371753,0.174227882,0.08802344,0.182418475,0.390167038,4.049434564,670537.031,3990180.041
66,23.45032638,32.9256199,0.124481698,-0.166492775,0.666048984,0.29855149,9.052705396,0.152859977,0.079551616,0.168501307,0.36053247,-5.062569332,62.3586461,4.491051119,0.642594813,9.381371058,0.15840968,0.082439801,0.174618881,0.373621887,4.654102298,636726.2479,4002880.328
67,27.64893491,35.26351739,0.134942362,-0.180079783,0.592347926,0.303086215,8.50411265,0.137575953,0.073095592,0.159922576,0.34304581,0.895201993,48.19201911,2.409146247,0.620338378,8.812861216,0.142570757,0.075749385,0.165728692,0.355500361,2.496612216,597820.7174,3995008.788
68,25.68278412,34.44322776,0.130438,-0.169287647,0.614347239,0.290486563,8.641738387,0.141961979,0.074593894,0.163165107,0.34794388,-8.760017545,56.91277803,2.642441301,0.616855493,8.955483565,0.147116022,0.077302085,0.169088946,0.360576259,2.738377231,605993.995,4026940.699
69,25.74894228,36.26541941,0.148556447,-0.179104283,0.540406644,0.274349124,8.823129868,0.144406672,0.073432581,0.170499133,0.349192864,-5.499396914,52.12273684,1.861246099,0.577323216,9.143460608,0.149649471,0.076098609,0.176689239,0.361870589,1.928820117,559544.2686,4015983.38
70,24.87603719,37.31068049,0.158398999,-0.181780341,0.497744527,0.265974572,9.096060223,0.148875745,0.074092896,0.181204344,0.357792894,-5.498936441,58.85409192,3.065694092,0.541264844,9.426299917,0.154280797,0.076782898,0.187783112,0.370782849,3.176996552,528374.1141,4013743.587
71,24.22143444,36.55973589,0.160265976,-0.19793858,0.53000106,0.27614691,8.908974034,0.144957883,0.07595905,0.171349557,0.352393099,4.029191955,54.625443,3.799235721,0.606652134,9.232421414,0.150220694,0.078716804,0.177570538,0.365187011,3.937169992,576142.7498,3968732.142
72,30.54002515,37.75816218,0.167880776,-0.172100264,0.411029763,0.58206039,7.933073813,0.114911534,0.06826869,0.150939138,0.337248263,4.902177442,38.98242232,3.175813663,0.483080692,8.221090361,0.119083489,0.070747239,0.156419104,0.349492329,3.291114101,506246.6106,3867229.724
73,24.31680637,38.00901785,0.161510248,-0.180392301,0.475099681,0.268733893,9.245445698,0.150981425,0.075014078,0.188588782,0.367306359,-2.47759455,55.50789758,4.065511144,0.507167029,9.581108949,0.156462926,0.077737524,0.195435647,0.380641708,4.213112756,491781.8016,4018175.954
74,28.16520414,37.20526837,0.151700994,-0.156647202,0.47939496,0.40732738,8.327570595,0.130968438,0.069816005,0.160335912,0.344172091,-2.375930304,44.35042368,2.696648448,0.485381404,8.629909662,0.135723351,0.072350731,0.166157035,0.356667532,2.794552413,387260.8453,4022261.76
75,26.72743926,37.88047456,0.155643161,-0.172455257,0.478882074,0.320594602,8.81444725,0.141824042,0.072459125,0.174171869,0.356836787,12.70818015,49.09582876,2.247674436,0.496909393,9.13446276,0.146973076,0.075089811,0.180495317,0.36979203,2.329278042,451716.5522,4021911.578
